psu_hh_idcode,subjective_poverty_1,subjective_poverty_2,subjective_poverty_3,subjective_poverty_4,subjective_poverty_5,subjective_poverty_6,subjective_poverty_7,subjective_poverty_8,subjective_poverty_9,subjective_poverty_10
1_7_1,0.034670879974497776,0.08132190717800784,0.1617421476985291,0.2347551659099409,0.2201987650784061,0.13677389861768527,0.08276244837250338,0.03854447402309451,0.007791290673812068,0.00143902247352305
1_8_1,0.03702803634639935,0.08129334044322771,0.1784502833873344,0.24056583363365205,0.211600156732743,0.12780735025070483,0.07712781303271207,0.036955834630721406,0.007761862924464467,0.0014094886180407292
1_10_1,0.019762632214829982,0.03926631352048434,0.08328056981844656,0.15395851129631127,0.20732849908093381,0.20529154019421111,0.17162366053570213,0.10507523315137941,0.01243144633675592,0.0019815938509453175
2_3_1,0.028979926500966747,0.06620387583291197,0.1386492829574813,0.20156898809803372,0.21547418460612713,0.17641990768736016,0.1082099590061869,0.053372674618358595,0.009497395464818021,0.0016238052277554138
3_1_1,0.040240162361508174,0.09148823192430398,0.184442449716638,0.2273563765709946,0.20446667939240257,0.13370173518095543,0.07361474206615927,0.035509696979119265,0.007771098931001216,0.0014088268769173724
5_4_1,0.016534067810768088,0.03299234762819214,0.06517960471190616,0.12695622238989718,0.19817849414863645,0.22974078454472202,0.19344524536460508,0.12192255131597937,0.013029516411007159,0.0020211656742864866
7_8_2,0.017212180586108218,0.0331843205632619,0.06548781545542706,0.1251823618261752,0.19688891235516498,0.22650935695637062,0.19345525285857643,0.12668199893630946,0.013339186429748854,0.0020586140328574783
7_9_2,0.042838705202722635,0.09883145232122947,0.19660743556402677,0.23396759639965936,0.20426379472645073,0.12045319068399545,0.0643271517142967,0.03035355440795282,0.007034902521106973,0.001322216458559032
9_1_1,0.03853686906187305,0.08694457534091427,0.18195107710426264,0.23734394599718456,0.2110099970184244,0.12772564697926572,0.07332191418418774,0.03432964399554755,0.007451556620981151,0.0013847736973590765
9_3_1,0.028050872909826052,0.06638291177847087,0.12934985042458105,0.18934406257739758,0.21960950413233876,0.18995414213108375,0.11244637996754701,0.05375128700157835,0.009460785239876642,0.0016502038372997758
10_6_2,0.04584093405153121,0.10350932531034858,0.21006450655759507,0.2298401754163301,0.19779052029748317,0.11679109926066239,0.05968659798266937,0.02833635438204324,0.006845905843081631,0.0012945808982551365
12_7_1,0.04382532396613732,0.09963567813947755,0.19728588924608023,0.23185266064058302,0.20304238869427296,0.12148714484524352,0.06418027844977478,0.03030274368830317,0.007058910265268966,0.0013289820648583828
13_3_2,0.029504719050014037,0.059967318597642816,0.14436517131999047,0.23376667254025485,0.21961305465427874,0.1397927845735943,0.10434474245415105,0.057588469328280545,0.009461672465877476,0.001595395015915644
15_4_1,0.04189457759293756,0.09465260286878274,0.19882532393885383,0.24162002568409452,0.2044518732593716,0.11695328373143087,0.06384813087295217,0.02954395088759373,0.006905486656646877,0.0013047445073360107
15_8_1,0.028327337503078462,0.062212262316389044,0.13635000634095204,0.20870661199884202,0.2158639072564367,0.16738222679913964,0.11083395466717152,0.05887807401813962,0.009808598759767232,0.0016370203400836484
15_9_2,0.04012859579054059,0.09112717262752731,0.1890763915259115,0.23772414045829557,0.20699048049918986,0.12411364138306229,0.06956432960699344,0.032603270019798326,0.007316900835850203,0.0013550772528307913
15_11_2,0.05057616344822539,0.11416080756836151,0.21256665617569967,0.2321183905799474,0.19157029487224136,0.10967013129318305,0.05514329984518483,0.026308456157787218,0.006623555226058925,0.0012622448333106117
16_7_1,0.026379960165388672,0.05699771426028434,0.12164508821045013,0.19217717244821075,0.2174373207944409,0.18307708446948795,0.12428174361855376,0.06591180422885569,0.010360352468749228,0.0017317593355785118
16_8_1,0.040095659465044654,0.08995947430141955,0.18312762802653837,0.21657525811689143,0.20695271678534066,0.1422033932317277,0.07592597929679866,0.03589161080983182,0.00782246705874271,0.0014458129076643756
16_9_1,0.030706818239228006,0.07299784044976501,0.1408286328188459,0.21033129689861316,0.22313962329748321,0.1663623592300033,0.09935120462642638,0.046072421041114246,0.008651606770315427,0.0015581966282054475
17_3_1,0.027083842139856252,0.06370475827923218,0.13113202901924678,0.2164673958574995,0.22669723913555423,0.16543728098218058,0.10822807573586979,0.05072936685368319,0.00894517997782898,0.0015748320190483646
17_6_1,0.038029700579369635,0.08537324345193843,0.17971664028561052,0.22542251278203715,0.20834738310623402,0.1373904202392036,0.07803483734626372,0.03822385041019969,0.008017526044593375,0.001443885754549768
18_2_1,0.04182691689039902,0.09644565111011173,0.1968198398029825,0.23779322746216058,0.20341391645818402,0.12028637100925461,0.06500675116492945,0.030060526599493775,0.007032687926068642,0.0013141115764157682
18_8_1,0.043200841881165596,0.09964393374619435,0.19956805295048421,0.23687624246387223,0.2023452451860627,0.11760291756595315,0.06289713038003357,0.029606513539804296,0.006954938785659127,0.0013041835007708694
19_3_1,0.04359821172339616,0.10015018859841,0.18984789818605252,0.21624991832442592,0.20466641194113847,0.13490699754005303,0.06890521487517103,0.03282339940587562,0.0074548348699518515,0.0013969245355254668
20_3_1,0.04005828722946843,0.09387759904636613,0.18845391147050203,0.24403784858997019,0.20980747000298788,0.11911290496689876,0.06622234232717379,0.03020406444870213,0.006915842362654356,0.0013097295552762954
21_1_2,0.037400380778843646,0.0854518856924272,0.17770899385284697,0.2298904885207049,0.21242988461183804,0.13593636401362064,0.07672238071309341,0.03540909897374827,0.007639043879269045,0.0014114789636078932
21_2_1,0.05654357672103679,0.1227735554308696,0.2534385827158409,0.2321149994733681,0.17553071043033946,0.09089574661196306,0.04202370333812557,0.01990596631618189,0.0056691462680930685,0.0011040126941815214
21_5_1,0.01703158263950216,0.03340022111976223,0.06707368589347111,0.1312109251575693,0.19868540989599523,0.2223444487652255,0.1916847643564422,0.1234155473667305,0.013123207667190665,0.002030207138110947
24_6_1,0.04125826850146781,0.0939178800046788,0.19689701765269263,0.24314995227770037,0.20308996623578718,0.11756819979921933,0.0654083513753048,0.030352928891562166,0.007046316315054061,0.0013111189465327795
24_7_1,0.05933270120190789,0.13081246215520825,0.25848364235991067,0.2245243764985241,0.17209280436217084,0.08965164250172342,0.03947844786138048,0.01900846194239464,0.005532694609926993,0.00108276650685272
25_7_5,0.03280925749784826,0.08008717409039905,0.15798815111793985,0.24063621536250487,0.22423762879990441,0.13730074326907205,0.08213157881807197,0.03594387696333772,0.007461690404005307,0.0014036836769166744
26_1_2,0.042911718524700736,0.0989951737991184,0.1971221883906205,0.2343940364479416,0.20412647030917477,0.11993842303077516,0.06402738328534896,0.030157497259816517,0.007008342294409866,0.0013187666580935082
26_2_1,0.04118942834098596,0.09407503415930704,0.1959074257385578,0.24117947208800897,0.2035481280631263,0.11922595048776694,0.06589974254467498,0.03057281307353905,0.007084767347898456,0.0013172381561344876
26_3_2,0.04268884142768936,0.09882015229322105,0.19528495458495976,0.2320550864749192,0.20428583510177395,0.1228126765458951,0.06514996545910234,0.03048830715478139,0.007085148931846044,0.0013290320258118851
26_7_1,0.03965766600044625,0.09062675692525371,0.18818862152785276,0.23673287966370488,0.20701049109762165,0.12611081522300788,0.07035053668840467,0.03262239618578612,0.00734245282713242,0.0013573838607896793
28_8_1,0.03513104564088853,0.07967222048068683,0.1694431489021563,0.2381877375645368,0.21610720169262543,0.1336109610871029,0.08096651002064643,0.03767515307723863,0.007781337991999784,0.0014246835421181942
29_1_1,0.04145116525284255,0.09463035572174551,0.19604098345898738,0.2404969184420425,0.20361504200886954,0.1192181048936857,0.06568746284399327,0.03047042039648416,0.007072134177805937,0.0013174128035435982
29_2_1,0.047303299501382054,0.1061302595974617,0.2170792541730108,0.23198092782991725,0.19390768093769062,0.11181596855774341,0.05673991030747294,0.02708275624766604,0.006694096288670983,0.0012658465589841714
30_1_1,0.04179280151928487,0.09525906692278842,0.19598902728537693,0.23882509231432922,0.2035759471262418,0.1197925880794121,0.06570716971770747,0.030639274775741236,0.0070968880734740844,0.0013221441856438117
30_4_1,0.036637499374561185,0.08325462373574512,0.17130567141653485,0.23855645604356782,0.2158919841096351,0.1296218137168838,0.07831192550858679,0.03730738007115918,0.007694826762376129,0.0014178192609497846
31_2_1,0.047303299501382054,0.1061302595974617,0.2170792541730108,0.23198092782991725,0.19390768093769062,0.11181596855774341,0.05673991030747294,0.02708275624766604,0.006694096288670983,0.0012658465589841714
31_3_1,0.03911440822379439,0.09160615381803157,0.183952362608763,0.24375278876974313,0.21152103169344397,0.12152981772644768,0.06868576858081851,0.03145159627847558,0.007056726114173416,0.001329346186308873
32_3_1,0.02690249298370169,0.061956801623589124,0.12656666558626944,0.19509821757794454,0.21847499407174914,0.18486091869068896,0.11710287312861106,0.057625958892440654,0.009743024834995175,0.0016680526100100192
32_7_1,0.05022437318287043,0.1087366385857747,0.23010138232811672,0.2239337571190064,0.18830420735376466,0.11211869462118154,0.053596997667906494,0.025210262895572585,0.006523092085243998,0.0012505941605623727
32_9_1,0.02663953989250271,0.06140276953392544,0.12396003391919361,0.1895195779651868,0.21841668375533937,0.19026410540619249,0.11913739738655726,0.059101287231951766,0.009874191999057962,0.001684412910092519
33_5_1,0.03513707811614587,0.08018209008383682,0.1587011305349799,0.2102077600390386,0.21591618686865544,0.15738543628519067,0.08933450128196238,0.04309239407839052,0.008507562726892756,0.0015358599849070733
33_8_1,0.040147565000652294,0.09411335913885689,0.17772207916475524,0.2181289680982598,0.21009466352919415,0.14057715038139343,0.07465079564308126,0.03542955271577929,0.00770832939623763,0.0014275369317899081
36_1_1,0.040320046924121423,0.09452595926640524,0.17862357776092078,0.21863322161484589,0.20985676034682055,0.1397978919877997,0.07408648934480659,0.035067062875477825,0.007667167780574684,0.0014218220982272342
36_6_1,0.0367227502604559,0.0877008833608389,0.16602611140212784,0.2059058808027346,0.21516710133492983,0.15875380866615244,0.08256936834379647,0.03770352602677581,0.00797204328243114,0.0014785265197569547
38_7_1,0.03199466696468378,0.07300354483347923,0.1545826393162802,0.22324028869786225,0.21745291899154054,0.15161201671024896,0.09321638708911117,0.04478931000345151,0.008591251333914297,0.0015169760594280783
38_8_1,0.03677954486756358,0.08333226167219396,0.17422645637524276,0.22056685597333298,0.21017792838611796,0.14431209860230493,0.08145038263691123,0.03951239435583892,0.008174986780631133,0.001467090349862445
41_2_1,0.04189457759293756,0.09465260286878274,0.19882532393885383,0.24162002568409452,0.2044518732593716,0.11695328373143087,0.06384813087295217,0.02954395088759373,0.006905486656646877,0.0013047445073360107
41_9_1,0.0304801211795172,0.06993559262689883,0.14735044524888566,0.21514254893089219,0.21961607231563993,0.1613519044756605,0.09876956247897391,0.04698973571722924,0.008811660367420896,0.0015523566588814825
42_9_1,0.035786550898828234,0.08309778275927017,0.16241748239395898,0.2108916043687116,0.21495720113490374,0.1559748049998185,0.08612106470658183,0.040930996283674644,0.00831340081292383,0.0015091116413285602
43_2_1,0.04429906606120204,0.0978600874312162,0.20136839026318326,0.23379005912574533,0.20174087682103192,0.1181493261373969,0.063601751883531,0.03076174698249314,0.007097446787296018,0.0013312485069042555
